surface,rooms,baths,ville,quartier,log_surface,surface_per_room,bath_room_ratio,surface_x_rooms
35,1,1,16,32,3.58351893845611,17.5,0.5,35
47,1,2,16,12,3.871201010907891,23.5,1.0,47
134,3,2,29,34,4.90527477843843,33.5,0.5,402
80,3,1,17,83,4.394449154672439,20.0,0.25,240
70,2,1,4,83,4.2626798770413155,23.333333333333332,0.3333333333333333,140
233,4,4,22,41,5.455321115357702,46.6,0.8,932
60,2,1,28,11,4.110873864173311,20.0,0.3333333333333333,120
149,3,2,8,17,5.0106352940962555,37.25,0.5,447
94,2,2,13,73,4.553876891600541,31.333333333333332,0.6666666666666666,188
50,2,1,8,60,3.9318256327243257,16.666666666666668,0.3333333333333333,100
126,3,2,8,85,4.844187086458591,31.5,0.5,378
64,2,1,28,11,4.174387269895637,21.333333333333332,0.3333333333333333,128
95,2,2,8,6,4.564348191467836,31.666666666666668,0.6666666666666666,190
113,2,1,16,54,4.736198448394496,37.666666666666664,0.3333333333333333,226
75,3,2,11,24,4.330733340286331,18.75,0.5,225
230,4,2,29,88,5.442417710521793,46.0,0.4,920
75,2,2,16,38,4.330733340286331,25.0,0.6666666666666666,150
136,3,2,8,85,4.919980925828125,34.0,0.5,408
114,3,2,3,11,4.74493212836325,28.5,0.5,342
114,3,2,8,11,4.74493212836325,28.5,0.5,342
129,2,2,8,85,4.867534450455582,43.0,0.6666666666666666,258
95,2,2,8,16,4.564348191467836,31.666666666666668,0.6666666666666666,190
100,2,1,8,15,4.61512051684126,33.333333333333336,0.3333333333333333,200
83,3,2,8,6,4.430816798843313,20.75,0.5,249
102,2,3,0,30,4.634728988229636,34.0,1.0,204
76,2,1,8,20,4.343805421853684,25.333333333333332,0.3333333333333333,152
144,3,2,9,83,4.976733742420574,36.0,0.5,432
146,3,2,6,11,4.990432586778736,36.5,0.5,438
105,4,1,0,13,4.663439094112067,21.0,0.2,420
60,1,1,16,32,4.110873864173311,30.0,0.5,60
75,3,1,0,39,4.330733340286331,18.75,0.25,225
196,2,1,28,81,5.2832037287379885,65.33333333333333,0.3333333333333333,392
68,2,1,8,49,4.23410650459726,22.666666666666668,0.3333333333333333,136
80,2,2,13,73,4.394449154672439,26.666666666666668,0.6666666666666666,160
70,1,2,16,67,4.2626798770413155,35.0,1.0,70
136,3,2,16,86,4.919980925828125,34.0,0.5,408
93,3,2,23,71,4.543294782270004,23.25,0.5,279
148,3,2,8,14,5.003946305945459,37.0,0.5,444
68,2,2,8,55,4.23410650459726,22.666666666666668,0.6666666666666666,136
59,2,2,8,6,4.0943445622221,19.666666666666668,0.6666666666666666,118
66,2,2,9,83,4.204692619390966,22.0,0.6666666666666666,132
85,2,2,8,0,4.454347296253507,28.333333333333332,0.6666666666666666,170
100,2,2,28,51,4.61512051684126,33.333333333333336,0.6666666666666666,200
